,neighbourhood,area,rooms,bathrooms,rent
1965,,100,3,2,2000
1966,Centro,56,2,1,1900
1967,,80,2,2,1500
1968,Parque Arnold Schimidt,41,1,1,1112
1969,Jardim Nova Santa Paula,57,2,1,750
1970,Jardim Gibertoni,130,3,3,1000
1971,Centro,60,2,1,1900
1972,Parque Sabará,67,2,2,1900
1973,Jardim Gibertoni,70,2,1,1334
1974,Parque Santa Mônica,81,3,1,1300
1975,Jardim Nova São Carlos,42,2,1,640
1976,Parque Arnold Schimidt,63,2,2,1500
1977,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
1978,,102,3,2,3111
1979,Parque Fehr,43,2,1,1334
1980,Jardim Bethania,60,2,2,1700
1981,Jardim Alvorada,60,2,1,880
1982,Jardim Alvorada,64,2,2,2500
1983,Jardim Santa Paula,66,2,2,1223
1984,Parque Arnold Schimidt,48,2,1,1100
1985,Parque Santa Mônica,82,1,1,1400
1986,Jardim Brasil,49,2,2,1000
1987,Vila Irene,42,2,1,600
1988,,64,3,2,1400
1989,Centro,44,1,1,1400
1990,Jardim Lutfalla,56,2,1,1555
1991,,98,2,2,1667
1992,Gleba I,111,4,3,3300
1993,Centro,35,1,2,1112
1994,Jardim Bethania,115,3,1,2440
1995,Jardim Gibertoni,150,3,3,3700
1996,,146,3,4,2500
1997,Parque Sabará,63,2,2,1760
1998,Centro,60,2,3,1554
1999,Jardim Centenário,48,2,1,1400
2000,Parque Santa Felícia Jardim,80,3,1,1667
2001,,100,3,2,2000
2002,Centro,56,2,1,1900
2003,,80,2,2,1500
2004,Parque Arnold Schimidt,41,1,1,1112
2005,Jardim Nova Santa Paula,57,2,1,750
2006,Jardim Gibertoni,130,3,3,1000
2007,Centro,60,2,1,1900
2008,Parque Sabará,67,2,2,1900
2009,Jardim Gibertoni,70,2,1,1334
2010,Parque Santa Mônica,81,3,1,1300
2011,Jardim Nova São Carlos,42,2,1,640
2012,Parque Arnold Schimidt,63,2,2,1500
2013,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
2014,,102,3,2,3111
2015,Parque Fehr,43,2,1,1334
2016,Jardim Bethania,60,2,2,1700
2017,Jardim Alvorada,60,2,1,880
2018,Jardim Alvorada,64,2,2,2500
2019,Jardim Santa Paula,66,2,2,1223
2020,Parque Arnold Schimidt,48,2,1,1100
2021,Parque Santa Mônica,82,1,1,1400
2022,Jardim Brasil,49,2,2,1000
2023,Vila Irene,42,2,1,600
2024,,64,3,2,1400
2025,Centro,44,1,1,1400
2026,Jardim Lutfalla,56,2,1,1555
2027,,98,2,2,1667
2028,Gleba I,111,4,3,3300
2029,Centro,35,1,2,1112
2030,Jardim Bethania,115,3,1,2440
2031,Jardim Gibertoni,150,3,3,3700
2032,,146,3,4,2500
2033,Parque Sabará,63,2,2,1760
2034,Centro,60,2,3,1554
2035,Jardim Centenário,48,2,1,1400
2036,Parque Santa Felícia Jardim,80,3,1,1667
2037,,100,3,2,2000
2038,Centro,56,2,1,1900
2039,,80,2,2,1500
2040,Parque Arnold Schimidt,41,1,1,1112
2041,Jardim Nova Santa Paula,57,2,1,750
2042,Jardim Gibertoni,130,3,3,1000
2043,Centro,60,2,1,1900
2044,Parque Sabará,67,2,2,1900
2045,Jardim Gibertoni,70,2,1,1334
2046,Parque Santa Mônica,81,3,1,1300
2047,Jardim Nova São Carlos,42,2,1,640
2048,Parque Arnold Schimidt,63,2,2,1500
2049,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
2050,,102,3,2,3111
2051,Parque Fehr,43,2,1,1334
2052,Jardim Bethania,60,2,2,1700
2053,Jardim Alvorada,60,2,1,880
2054,Jardim Alvorada,64,2,2,2500
2055,Jardim Santa Paula,66,2,2,1223
2056,Parque Arnold Schimidt,48,2,1,1100
2057,Parque Santa Mônica,82,1,1,1400
2058,Jardim Brasil,49,2,2,1000
2059,Vila Irene,42,2,1,600
2060,,64,3,2,1400
2061,Centro,44,1,1,1400
2062,Jardim Lutfalla,56,2,1,1555
2063,,98,2,2,1667
2064,Gleba I,111,4,3,3300
2065,Centro,35,1,2,1112
2066,Jardim Bethania,115,3,1,2440
2067,Jardim Gibertoni,150,3,3,3700
2068,,146,3,4,2500
2069,Parque Sabará,63,2,2,1760
2070,Centro,60,2,3,1554
2071,Jardim Centenário,48,2,1,1400
2072,Parque Santa Felícia Jardim,80,3,1,1667
2073,,100,3,2,2000
2074,Centro,56,2,1,1900
2075,,80,2,2,1500
2076,Parque Arnold Schimidt,41,1,1,1112
2077,Jardim Nova Santa Paula,57,2,1,750
2078,Jardim Gibertoni,130,3,3,1000
2079,Centro,60,2,1,1900
2080,Parque Sabará,67,2,2,1900
2081,Jardim Gibertoni,70,2,1,1334
2082,Parque Santa Mônica,81,3,1,1300
2083,Jardim Nova São Carlos,42,2,1,640
2084,Parque Arnold Schimidt,63,2,2,1500
2085,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
2086,,102,3,2,3111
2087,Parque Fehr,43,2,1,1334
2088,Jardim Bethania,60,2,2,1700
2089,Jardim Alvorada,60,2,1,880
2090,Jardim Alvorada,64,2,2,2500
2091,Jardim Santa Paula,66,2,2,1223
2092,Parque Arnold Schimidt,48,2,1,1100
2093,Parque Santa Mônica,82,1,1,1400
2094,Jardim Brasil,49,2,2,1000
2095,Vila Irene,42,2,1,600
2096,,64,3,2,1400
2097,Centro,44,1,1,1400
2098,Jardim Lutfalla,56,2,1,1555
2099,,98,2,2,1667
2100,Gleba I,111,4,3,3300
2101,Centro,35,1,2,1112
2102,Jardim Bethania,115,3,1,2440
2103,Jardim Gibertoni,150,3,3,3700
2104,,146,3,4,2500
2105,Parque Sabará,63,2,2,1760
2106,Centro,60,2,3,1554
2107,Jardim Centenário,48,2,1,1400
2108,Parque Santa Felícia Jardim,80,3,1,1667
2109,,100,3,2,2000
2110,Centro,56,2,1,1900
2111,,80,2,2,1500
2112,Parque Arnold Schimidt,41,1,1,1112
2113,Jardim Nova Santa Paula,57,2,1,750
2114,Jardim Gibertoni,130,3,3,1000
2115,Centro,60,2,1,1900
2116,Parque Sabará,67,2,2,1900
2117,Jardim Gibertoni,70,2,1,1334
2118,Parque Santa Mônica,81,3,1,1300
2119,Jardim Nova São Carlos,42,2,1,640
2120,Parque Arnold Schimidt,63,2,2,1500
2121,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
2122,,102,3,2,3111
2123,Parque Fehr,43,2,1,1334
2124,Jardim Bethania,60,2,2,1700
2125,Jardim Alvorada,60,2,1,880
2126,Jardim Alvorada,64,2,2,2500
2127,Jardim Santa Paula,66,2,2,1223
2128,Parque Arnold Schimidt,48,2,1,1100
2129,Parque Santa Mônica,82,1,1,1400
2130,Jardim Brasil,49,2,2,1000
2131,Vila Irene,42,2,1,600
2132,,64,3,2,1400
2133,Centro,44,1,1,1400
2134,Jardim Lutfalla,56,2,1,1555
2135,,98,2,2,1667
2136,Gleba I,111,4,3,3300
2137,Centro,35,1,2,1112
2138,Jardim Bethania,115,3,1,2440
2139,Jardim Gibertoni,150,3,3,3700
2140,,146,3,4,2500
2141,Parque Sabará,63,2,2,1760
2142,Centro,60,2,3,1554
2143,Jardim Centenário,48,2,1,1400
2144,Parque Santa Felícia Jardim,80,3,1,1667
2145,,100,3,2,2000
2146,Centro,56,2,1,1900
2147,,80,2,2,1500
2148,Parque Arnold Schimidt,41,1,1,1112
2149,Jardim Nova Santa Paula,57,2,1,750
2150,Jardim Gibertoni,130,3,3,1000
2151,Centro,60,2,1,1900
2152,Parque Sabará,67,2,2,1900
2153,Jardim Gibertoni,70,2,1,1334
2154,Parque Santa Mônica,81,3,1,1300
2155,Jardim Nova São Carlos,42,2,1,640
2156,Parque Arnold Schimidt,63,2,2,1500
2157,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
2158,,102,3,2,3111
2159,Parque Fehr,43,2,1,1334
2160,Jardim Bethania,60,2,2,1700
2161,Jardim Alvorada,60,2,1,880
2162,Jardim Alvorada,64,2,2,2500
2163,Jardim Santa Paula,66,2,2,1223
2164,Parque Arnold Schimidt,48,2,1,1100
2165,Parque Santa Mônica,82,1,1,1400
2166,Jardim Brasil,49,2,2,1000
2167,Vila Irene,42,2,1,600
2168,,64,3,2,1400
2169,Centro,44,1,1,1400
2170,Jardim Lutfalla,56,2,1,1555
2171,,98,2,2,1667
2172,Gleba I,111,4,3,3300
2173,Centro,35,1,2,1112
2174,Jardim Bethania,115,3,1,2440
2175,Jardim Gibertoni,150,3,3,3700
2176,,146,3,4,2500
2177,Parque Sabará,63,2,2,1760
2178,Centro,60,2,3,1554
2179,Jardim Centenário,48,2,1,1400
2180,Parque Santa Felícia Jardim,80,3,1,1667
2181,,100,3,2,2000
2182,Centro,56,2,1,1900
2183,,80,2,2,1500
2184,Parque Arnold Schimidt,41,1,1,1112
2185,Jardim Nova Santa Paula,57,2,1,750
2186,Jardim Gibertoni,130,3,3,1000
2187,Centro,60,2,1,1900
2188,Parque Sabará,67,2,2,1900
2189,Jardim Gibertoni,70,2,1,1334
2190,Parque Santa Mônica,81,3,1,1300
2191,Jardim Nova São Carlos,42,2,1,640
2192,Parque Arnold Schimidt,63,2,2,1500
2193,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
2194,,102,3,2,3111
2195,Parque Fehr,43,2,1,1334
2196,Jardim Bethania,60,2,2,1700
2197,Jardim Alvorada,60,2,1,880
2198,Jardim Alvorada,64,2,2,2500
2199,Jardim Santa Paula,66,2,2,1223
2200,Parque Arnold Schimidt,48,2,1,1100
2201,Parque Santa Mônica,82,1,1,1400
2202,Jardim Brasil,49,2,2,1000
2203,Vila Irene,42,2,1,600
2204,,64,3,2,1400
2205,Centro,44,1,1,1400
2206,Jardim Lutfalla,56,2,1,1555
2207,,98,2,2,1667
2208,Gleba I,111,4,3,3300
2209,Centro,35,1,2,1112
2210,Jardim Bethania,115,3,1,2440
2211,Jardim Gibertoni,150,3,3,3700
2212,,146,3,4,2500
2213,Parque Sabará,63,2,2,1760
2214,Centro,60,2,3,1554
2215,Jardim Centenário,48,2,1,1400
2216,Parque Santa Felícia Jardim,80,3,1,1667
2217,,100,3,2,2000
2218,Centro,56,2,1,1900
2219,,80,2,2,1500
2220,Parque Arnold Schimidt,41,1,1,1112
2221,Jardim Nova Santa Paula,57,2,1,750
2222,Jardim Gibertoni,130,3,3,1000
2223,Centro,60,2,1,1900
2224,Parque Sabará,67,2,2,1900
2225,Jardim Gibertoni,70,2,1,1334
2226,Parque Santa Mônica,81,3,1,1300
2227,Jardim Nova São Carlos,42,2,1,640
2228,Parque Arnold Schimidt,63,2,2,1500
2229,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
2230,,102,3,2,3111
2231,Parque Fehr,43,2,1,1334
2232,Jardim Bethania,60,2,2,1700
2233,Jardim Alvorada,60,2,1,880
2234,Jardim Alvorada,64,2,2,2500
2235,Jardim Santa Paula,66,2,2,1223
2236,Parque Arnold Schimidt,48,2,1,1100
2237,Parque Santa Mônica,82,1,1,1400
2238,Jardim Brasil,49,2,2,1000
2239,Vila Irene,42,2,1,600
2240,,64,3,2,1400
2241,Centro,44,1,1,1400
2242,Jardim Lutfalla,56,2,1,1555
2243,,98,2,2,1667
2244,Gleba I,111,4,3,3300
2245,Centro,35,1,2,1112
2246,Jardim Bethania,115,3,1,2440
2247,Jardim Gibertoni,150,3,3,3700
2248,,146,3,4,2500
2249,Parque Sabará,63,2,2,1760
2250,Centro,60,2,3,1554
2251,Jardim Centenário,48,2,1,1400
2252,Parque Santa Felícia Jardim,80,3,1,1667
2253,,100,3,2,2000
2254,Centro,56,2,1,1900
2255,,80,2,2,1500
2256,Parque Arnold Schimidt,41,1,1,1112
2257,Jardim Nova Santa Paula,57,2,1,750
2258,Jardim Gibertoni,130,3,3,1000
2259,Centro,60,2,1,1900
2260,Parque Sabará,67,2,2,1900
2261,Jardim Gibertoni,70,2,1,1334
2262,Parque Santa Mônica,81,3,1,1300
2263,Jardim Nova São Carlos,42,2,1,640
2264,Parque Arnold Schimidt,63,2,2,1500
2265,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
2266,,102,3,2,3111
2267,Parque Fehr,43,2,1,1334
2268,Jardim Bethania,60,2,2,1700
2269,Jardim Alvorada,60,2,1,880
2270,Jardim Alvorada,64,2,2,2500
2271,Jardim Santa Paula,66,2,2,1223
2272,Parque Arnold Schimidt,48,2,1,1100
2273,Parque Santa Mônica,82,1,1,1400
2274,Jardim Brasil,49,2,2,1000
2275,Vila Irene,42,2,1,600
2276,,64,3,2,1400
2277,Centro,44,1,1,1400
2278,Jardim Lutfalla,56,2,1,1555
2279,,98,2,2,1667
2280,Gleba I,111,4,3,3300
2281,Centro,35,1,2,1112
2282,Jardim Bethania,115,3,1,2440
2283,Jardim Gibertoni,150,3,3,3700
2284,,146,3,4,2500
2285,Parque Sabará,63,2,2,1760
2286,Centro,60,2,3,1554
2287,Jardim Centenário,48,2,1,1400
2288,Parque Santa Felícia Jardim,80,3,1,1667
2289,,100,3,2,2000
2290,Centro,56,2,1,1900
2291,,80,2,2,1500
2292,Parque Arnold Schimidt,41,1,1,1112
2293,Jardim Nova Santa Paula,57,2,1,750
2294,Jardim Gibertoni,130,3,3,1000
2295,Centro,60,2,1,1900
2296,Parque Sabará,67,2,2,1900
2297,Jardim Gibertoni,70,2,1,1334
2298,Parque Santa Mônica,81,3,1,1300
2299,Jardim Nova São Carlos,42,2,1,640
2300,Parque Arnold Schimidt,63,2,2,1500
2301,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
2302,,102,3,2,3111
2303,Parque Fehr,43,2,1,1334
2304,Jardim Bethania,60,2,2,1700
2305,Jardim Alvorada,60,2,1,880
2306,Jardim Alvorada,64,2,2,2500
2307,Jardim Santa Paula,66,2,2,1223
2308,Parque Arnold Schimidt,48,2,1,1100
2309,Parque Santa Mônica,82,1,1,1400
2310,Jardim Brasil,49,2,2,1000
2311,Vila Irene,42,2,1,600
2312,,64,3,2,1400
2313,Centro,44,1,1,1400
2314,Jardim Lutfalla,56,2,1,1555
2315,,98,2,2,1667
2316,Gleba I,111,4,3,3300
2317,Centro,35,1,2,1112
2318,Jardim Bethania,115,3,1,2440
2319,Jardim Gibertoni,150,3,3,3700
2320,,146,3,4,2500
2321,Parque Sabará,63,2,2,1760
2322,Centro,60,2,3,1554
2323,Jardim Centenário,48,2,1,1400
2324,Parque Santa Felícia Jardim,80,3,1,1667
2325,,100,3,2,2000
2326,Centro,56,2,1,1900
2327,,80,2,2,1500
2328,Parque Arnold Schimidt,41,1,1,1112
2329,Jardim Nova Santa Paula,57,2,1,750
2330,Jardim Gibertoni,130,3,3,1000
2331,Centro,60,2,1,1900
2332,Parque Sabará,67,2,2,1900
2333,Jardim Gibertoni,70,2,1,1334
2334,Parque Santa Mônica,81,3,1,1300
2335,Jardim Nova São Carlos,42,2,1,640
2336,Parque Arnold Schimidt,63,2,2,1500
2337,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
2338,,102,3,2,3111
2339,Parque Fehr,43,2,1,1334
2340,Jardim Bethania,60,2,2,1700
2341,Jardim Alvorada,60,2,1,880
2342,Jardim Alvorada,64,2,2,2500
2343,Jardim Santa Paula,66,2,2,1223
2344,Parque Arnold Schimidt,48,2,1,1100
2345,Parque Santa Mônica,82,1,1,1400
2346,Jardim Brasil,49,2,2,1000
2347,Vila Irene,42,2,1,600
2348,,64,3,2,1400
2349,Centro,44,1,1,1400
2350,Jardim Lutfalla,56,2,1,1555
2351,,98,2,2,1667
2352,Gleba I,111,4,3,3300
2353,Centro,35,1,2,1112
2354,Jardim Bethania,115,3,1,2440
2355,Jardim Gibertoni,150,3,3,3700
2356,,146,3,4,2500
2357,Parque Sabará,63,2,2,1760
2358,Centro,60,2,3,1554
2359,Jardim Centenário,48,2,1,1400
2360,Parque Santa Felícia Jardim,80,3,1,1667
2361,,100,3,2,2000
2362,Centro,56,2,1,1900
2363,,80,2,2,1500
2364,Parque Arnold Schimidt,41,1,1,1112
2365,Jardim Nova Santa Paula,57,2,1,750
2366,Jardim Gibertoni,130,3,3,1000
2367,Centro,60,2,1,1900
2368,Parque Sabará,67,2,2,1900
2369,Jardim Gibertoni,70,2,1,1334
2370,Parque Santa Mônica,81,3,1,1300
2371,Jardim Nova São Carlos,42,2,1,640
2372,Parque Arnold Schimidt,63,2,2,1500
2373,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
2374,,102,3,2,3111
2375,Parque Fehr,43,2,1,1334
2376,Jardim Bethania,60,2,2,1700
2377,Jardim Alvorada,60,2,1,880
2378,Jardim Alvorada,64,2,2,2500
2379,Jardim Santa Paula,66,2,2,1223
2380,Parque Arnold Schimidt,48,2,1,1100
2381,Parque Santa Mônica,82,1,1,1400
2382,Jardim Brasil,49,2,2,1000
2383,Vila Irene,42,2,1,600
2384,,64,3,2,1400
2385,Centro,44,1,1,1400
2386,Jardim Lutfalla,56,2,1,1555
2387,,98,2,2,1667
2388,Gleba I,111,4,3,3300
2389,Centro,35,1,2,1112
2390,Jardim Bethania,115,3,1,2440
2391,Jardim Gibertoni,150,3,3,3700
2392,,146,3,4,2500
2393,Parque Sabará,63,2,2,1760
2394,Centro,60,2,3,1554
2395,Jardim Centenário,48,2,1,1400
2396,Parque Santa Felícia Jardim,80,3,1,1667
2397,,100,3,2,2000
2398,Centro,56,2,1,1900
2399,,80,2,2,1500
2400,Parque Arnold Schimidt,41,1,1,1112
2401,Jardim Nova Santa Paula,57,2,1,750
2402,Jardim Gibertoni,130,3,3,1000
2403,Centro,60,2,1,1900
2404,Parque Sabará,67,2,2,1900
2405,Jardim Gibertoni,70,2,1,1334
2406,Parque Santa Mônica,81,3,1,1300
2407,Jardim Nova São Carlos,42,2,1,640
2408,Parque Arnold Schimidt,63,2,2,1500
2409,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
2410,,102,3,2,3111
2411,Parque Fehr,43,2,1,1334
2412,Jardim Bethania,60,2,2,1700
2413,Jardim Alvorada,60,2,1,880
2414,Jardim Alvorada,64,2,2,2500
2415,Jardim Santa Paula,66,2,2,1223
2416,Parque Arnold Schimidt,48,2,1,1100
2417,Parque Santa Mônica,82,1,1,1400
2418,Jardim Brasil,49,2,2,1000
2419,Vila Irene,42,2,1,600
2420,,64,3,2,1400
2421,Centro,44,1,1,1400
2422,Jardim Lutfalla,56,2,1,1555
2423,,98,2,2,1667
2424,Gleba I,111,4,3,3300
2425,Centro,35,1,2,1112
2426,Jardim Bethania,115,3,1,2440
2427,Jardim Gibertoni,150,3,3,3700
2428,,146,3,4,2500
2429,Parque Sabará,63,2,2,1760
2430,Centro,60,2,3,1554
2431,Jardim Centenário,48,2,1,1400
2432,Parque Santa Felícia Jardim,80,3,1,1667
2433,,100,3,2,2000
2434,Centro,56,2,1,1900
2435,,80,2,2,1500
2436,Parque Arnold Schimidt,41,1,1,1112
2437,Jardim Nova Santa Paula,57,2,1,750
2438,Jardim Gibertoni,130,3,3,1000
2439,Centro,60,2,1,1900
2440,Parque Sabará,67,2,2,1900
2441,Jardim Gibertoni,70,2,1,1334
2442,Parque Santa Mônica,81,3,1,1300
2443,Jardim Nova São Carlos,42,2,1,640
2444,Parque Arnold Schimidt,63,2,2,1500
2445,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
2446,,102,3,2,3111
2447,Parque Fehr,43,2,1,1334
2448,Jardim Bethania,60,2,2,1700
2449,Jardim Alvorada,60,2,1,880
2450,Jardim Alvorada,64,2,2,2500
2451,Jardim Santa Paula,66,2,2,1223
2452,Parque Arnold Schimidt,48,2,1,1100
2453,Parque Santa Mônica,82,1,1,1400
2454,Jardim Brasil,49,2,2,1000
2455,Vila Irene,42,2,1,600
2456,,64,3,2,1400
2457,Centro,44,1,1,1400
2458,Jardim Lutfalla,56,2,1,1555
2459,,98,2,2,1667
2460,Gleba I,111,4,3,3300
2461,Centro,35,1,2,1112
2462,Jardim Bethania,115,3,1,2440
2463,Jardim Gibertoni,150,3,3,3700
2464,,146,3,4,2500
2465,Parque Sabará,63,2,2,1760
2466,Centro,60,2,3,1554
2467,Jardim Centenário,48,2,1,1400
2468,Parque Santa Felícia Jardim,80,3,1,1667
2469,,100,3,2,2000
2470,Centro,56,2,1,1900
2471,,80,2,2,1500
2472,Parque Arnold Schimidt,41,1,1,1112
2473,Jardim Nova Santa Paula,57,2,1,750
2474,Jardim Gibertoni,130,3,3,1000
2475,Centro,60,2,1,1900
2476,Parque Sabará,67,2,2,1900
2477,Jardim Gibertoni,70,2,1,1334
2478,Parque Santa Mônica,81,3,1,1300
2479,Jardim Nova São Carlos,42,2,1,640
2480,Parque Arnold Schimidt,63,2,2,1500
2481,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
2482,,102,3,2,3111
2483,Parque Fehr,43,2,1,1334
2484,Jardim Bethania,60,2,2,1700
2485,Jardim Alvorada,60,2,1,880
2486,Jardim Alvorada,64,2,2,2500
2487,Jardim Santa Paula,66,2,2,1223
2488,Parque Arnold Schimidt,48,2,1,1100
2489,Parque Santa Mônica,82,1,1,1400
2490,Jardim Brasil,49,2,2,1000
2491,Vila Irene,42,2,1,600
2492,,64,3,2,1400
2493,Centro,44,1,1,1400
2494,Jardim Lutfalla,56,2,1,1555
2495,,98,2,2,1667
2496,Gleba I,111,4,3,3300
2497,Centro,35,1,2,1112
2498,Jardim Bethania,115,3,1,2440
2499,Jardim Gibertoni,150,3,3,3700
2500,,146,3,4,2500
2501,Parque Sabará,63,2,2,1760
2502,Centro,60,2,3,1554
2503,Jardim Centenário,48,2,1,1400
2504,Parque Santa Felícia Jardim,80,3,1,1667
2505,,100,3,2,2000
2506,Centro,56,2,1,1900
2507,,80,2,2,1500
2508,Parque Arnold Schimidt,41,1,1,1112
2509,Jardim Nova Santa Paula,57,2,1,750
2510,Jardim Gibertoni,130,3,3,1000
2511,Centro,60,2,1,1900
2512,Parque Sabará,67,2,2,1900
2513,Jardim Gibertoni,70,2,1,1334
2514,Parque Santa Mônica,81,3,1,1300
2515,Jardim Nova São Carlos,42,2,1,640
2516,Parque Arnold Schimidt,63,2,2,1500
2517,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
2518,,102,3,2,3111
2519,Parque Fehr,43,2,1,1334
2520,Jardim Bethania,60,2,2,1700
2521,Jardim Alvorada,60,2,1,880
2522,Jardim Alvorada,64,2,2,2500
2523,Jardim Santa Paula,66,2,2,1223
2524,Parque Arnold Schimidt,48,2,1,1100
2525,Parque Santa Mônica,82,1,1,1400
2526,Jardim Brasil,49,2,2,1000
2527,Vila Irene,42,2,1,600
2528,,64,3,2,1400
2529,Centro,44,1,1,1400
2530,Jardim Lutfalla,56,2,1,1555
2531,,98,2,2,1667
2532,Gleba I,111,4,3,3300
2533,Centro,35,1,2,1112
2534,Jardim Bethania,115,3,1,2440
2535,Jardim Gibertoni,150,3,3,3700
2536,,146,3,4,2500
2537,Parque Sabará,63,2,2,1760
2538,Centro,60,2,3,1554
2539,Jardim Centenário,48,2,1,1400
2540,Parque Santa Felícia Jardim,80,3,1,1667
2541,,100,3,2,2000
2542,Centro,56,2,1,1900
2543,,80,2,2,1500
2544,Parque Arnold Schimidt,41,1,1,1112
2545,Jardim Nova Santa Paula,57,2,1,750
2546,Jardim Gibertoni,130,3,3,1000
2547,Centro,60,2,1,1900
2548,Parque Sabará,67,2,2,1900
2549,Jardim Gibertoni,70,2,1,1334
2550,Parque Santa Mônica,81,3,1,1300
2551,Jardim Nova São Carlos,42,2,1,640
2552,Parque Arnold Schimidt,63,2,2,1500
2553,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
2554,,102,3,2,3111
2555,Parque Fehr,43,2,1,1334
2556,Jardim Bethania,60,2,2,1700
2557,Jardim Alvorada,60,2,1,880
2558,Jardim Alvorada,64,2,2,2500
2559,Jardim Santa Paula,66,2,2,1223
2560,Parque Arnold Schimidt,48,2,1,1100
2561,Parque Santa Mônica,82,1,1,1400
2562,Jardim Brasil,49,2,2,1000
2563,Vila Irene,42,2,1,600
2564,,64,3,2,1400
2565,Centro,44,1,1,1400
2566,Jardim Lutfalla,56,2,1,1555
2567,,98,2,2,1667
2568,Gleba I,111,4,3,3300
2569,Centro,35,1,2,1112
2570,Jardim Bethania,115,3,1,2440
2571,Jardim Gibertoni,150,3,3,3700
2572,,146,3,4,2500
2573,Parque Sabará,63,2,2,1760
2574,Centro,60,2,3,1554
2575,Jardim Centenário,48,2,1,1400
2576,Parque Santa Felícia Jardim,80,3,1,1667
2577,,100,3,2,2000
2578,Centro,56,2,1,1900
2579,,80,2,2,1500
2580,Parque Arnold Schimidt,41,1,1,1112
2581,Jardim Nova Santa Paula,57,2,1,750
2582,Jardim Gibertoni,130,3,3,1000
2583,Centro,60,2,1,1900
2584,Parque Sabará,67,2,2,1900
2585,Jardim Gibertoni,70,2,1,1334
2586,Parque Santa Mônica,81,3,1,1300
2587,Jardim Nova São Carlos,42,2,1,640
2588,Parque Arnold Schimidt,63,2,2,1500
2589,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
2590,,102,3,2,3111
2591,Parque Fehr,43,2,1,1334
