,neighbourhood,area,rooms,bathrooms,rent
1458,Centro,60,2,3,1554
1459,Jardim Centenário,48,2,1,1400
1460,Parque Santa Felícia Jardim,80,3,1,1667
1461,,100,3,2,2000
1462,Centro,56,2,1,1900
1463,,80,2,2,1500
1464,Parque Arnold Schimidt,41,1,1,1112
1465,Jardim Nova Santa Paula,57,2,1,750
1466,Jardim Gibertoni,130,3,3,1000
1467,Centro,60,2,1,1900
1468,Parque Sabará,67,2,2,1900
1469,Jardim Gibertoni,70,2,1,1334
1470,Parque Santa Mônica,81,3,1,1300
1471,Jardim Nova São Carlos,42,2,1,640
1472,Parque Arnold Schimidt,63,2,2,1500
1473,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
1474,,102,3,2,3111
1475,Parque Fehr,43,2,1,1334
1476,Jardim Bethania,60,2,2,1700
1477,Jardim Alvorada,60,2,1,880
1478,Jardim Alvorada,64,2,2,2500
1479,Jardim Santa Paula,66,2,2,1223
1480,Parque Arnold Schimidt,48,2,1,1100
1481,Parque Santa Mônica,82,1,1,1400
1482,Jardim Brasil,49,2,2,1000
1483,Vila Irene,42,2,1,600
1484,,64,3,2,1400
1485,Centro,44,1,1,1400
1486,Jardim Lutfalla,56,2,1,1555
1487,,98,2,2,1667
1488,Gleba I,111,4,3,3300
1489,Centro,35,1,2,1112
1490,Jardim Bethania,115,3,1,2440
1491,Jardim Gibertoni,150,3,3,3700
1492,,146,3,4,2500
1493,Parque Sabará,63,2,2,1760
1494,Centro,60,2,3,1554
1495,Jardim Centenário,48,2,1,1400
1496,Parque Santa Felícia Jardim,80,3,1,1667
1497,,100,3,2,2000
1498,Centro,56,2,1,1900
1499,,80,2,2,1500
1500,Parque Arnold Schimidt,41,1,1,1112
1501,Jardim Nova Santa Paula,57,2,1,750
1502,Jardim Gibertoni,130,3,3,1000
1503,Centro,60,2,1,1900
1504,Parque Sabará,67,2,2,1900
1505,Jardim Gibertoni,70,2,1,1334
1506,Parque Santa Mônica,81,3,1,1300
1507,Jardim Nova São Carlos,42,2,1,640
1508,Parque Arnold Schimidt,63,2,2,1500
1509,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
1510,,102,3,2,3111
1511,Parque Fehr,43,2,1,1334
1512,Jardim Bethania,60,2,2,1700
1513,Jardim Alvorada,60,2,1,880
1514,Jardim Alvorada,64,2,2,2500
1515,Jardim Santa Paula,66,2,2,1223
1516,Parque Arnold Schimidt,48,2,1,1100
1517,Parque Santa Mônica,82,1,1,1400
1518,Jardim Brasil,49,2,2,1000
1519,Vila Irene,42,2,1,600
1520,,64,3,2,1400
1521,Centro,44,1,1,1400
1522,Jardim Lutfalla,56,2,1,1555
1523,,98,2,2,1667
1524,Gleba I,111,4,3,3300
1525,Centro,35,1,2,1112
1526,Jardim Bethania,115,3,1,2440
1527,Jardim Gibertoni,150,3,3,3700
1528,,146,3,4,2500
1529,Parque Sabará,63,2,2,1760
